id,employee_id,amount,effective_date,end_date
1,1,120000,2018-03-15,2019-03-14
2,1,135000,2019-03-15,2020-03-14
3,1,150000,2020-03-15,
4,2,105000,2019-06-01,2020-05-31
5,2,120000,2020-06-01,2021-05-31
6,2,130000,2021-06-01,
7,3,110000,2019-08-20,2020-08-19
8,3,125000,2020-08-20,2021-08-19
9,3,130000,2021-08-20,
10,4,90000,2020-01-10,2021-01-09
11,4,98000,2021-01-10,2022-01-09
12,4,105000,2022-01-10,
13,5,85000,2021-03-01,2022-02-28
14,5,95000,2022-03-01,
15,7,100000,2018-07-01,2019-06-30
16,7,112000,2019-07-01,2020-06-30
17,7,125000,2020-07-01,
18,11,110000,2017-11-01,2018-10-31
19,11,120000,2018-11-01,2019-10-31
20,11,135000,2019-11-01,
21,12,95000,2019-02-15,2020-02-14
22,12,105000,2020-02-15,2021-02-14
23,12,110000,2021-02-15,
24,16,100000,2018-01-15,2019-01-14
25,16,110000,2019-01-15,2020-01-14
26,16,120000,2020-01-15,
27,19,115000,2017-09-01,2018-08-31
28,19,125000,2018-09-01,2019-08-31
29,19,140000,2019-09-01,
30,22,105000,2018-05-01,2019-04-30
31,22,118000,2019-05-01,2020-04-30
32,22,130000,2020-05-01,
33,25,120000,2018-02-01,2019-01-31
34,25,132000,2019-02-01,2020-01-31
35,25,145000,2020-02-01,
36,27,110000,2018-04-01,2019-03-31
37,27,122000,2019-04-01,2020-03-31
38,27,135000,2020-04-01,
39,6,85000,2020-11-15,2021-11-14
40,6,98000,2021-11-15,
41,8,82000,2019-09-15,2020-09-14
42,8,95000,2020-09-15,
43,9,78000,2020-04-01,2021-03-31
44,9,88000,2021-04-01,
45,20,100000,2019-04-01,2020-03-31
46,20,115000,2020-04-01,
